,Open,High,Low,Close,Adj Close,Volume
2020-05-06 14:30:00-04:00,2344.79,2355.77,2343.00,2355.25,2355.25,335133.00
2020-05-06 15:30:00-04:00,2355.28,2357.45,2347.00,2350.97,2350.97,346487.00
2020-05-07 09:30:00-04:00,2374.78,2375.31,2344.51,2356.30,2356.30,931774.00
2020-05-07 10:30:00-04:00,2355.45,2360.04,2343.11,2349.02,2349.02,547297.00
2020-05-07 11:30:00-04:00,2349.99,2363.25,2349.32,2361.90,2361.90,338414.00
2020-05-07 12:30:00-04:00,2361.98,2365.39,2356.04,2360.61,2360.61,252229.00
2020-05-07 13:30:00-04:00,2360.83,2362.50,2353.64,2357.00,2357.00,237151.00
2020-05-07 14:30:00-04:00,2356.50,2361.16,2355.60,2358.00,2358.00,260945.00
2020-05-07 15:30:00-04:00,2357.46,2368.26,2350.79,2367.61,2367.61,433330.00
2020-05-08 09:30:00-04:00,2372.14,2378.74,2357.00,2378.40,2378.40,924293.00
2020-05-08 10:30:00-04:00,2377.83,2387.24,2373.66,2374.48,2374.48,484931.00
2020-05-08 11:30:00-04:00,2375.05,2382.00,2373.50,2376.91,2376.91,296568.00
2020-05-08 12:30:00-04:00,2377.57,2380.94,2373.11,2374.60,2374.60,197006.00
2020-05-08 13:30:00-04:00,2374.19,2375.25,2367.48,2374.54,2374.54,287263.00
2020-05-08 14:30:00-04:00,2374.38,2379.30,2370.34,2378.00,2378.00,279955.00
2020-05-08 15:30:00-04:00,2377.74,2379.87,2375.38,2379.50,2379.50,334151.00
2020-05-11 09:30:00-04:00,2374.70,2416.99,2372.11,2408.85,2408.85,1123845.00
2020-05-11 10:30:00-04:00,2408.71,2412.01,2400.00,2408.50,2408.50,365303.00
2020-05-11 11:30:00-04:00,2410.03,2410.03,2402.72,2408.48,2408.48,248276.00
2020-05-11 12:30:00-04:00,2408.14,2415.00,2405.04,2413.00,2413.00,274621.00
2020-05-11 13:30:00-04:00,2413.54,2416.48,2405.38,2411.05,2411.05,306369.00
2020-05-11 14:30:00-04:00,2410.80,2419.67,2410.80,2417.58,2417.58,324425.00
2020-05-11 15:30:00-04:00,2417.48,2418.85,2406.31,2406.94,2406.94,332455.00
2020-05-12 09:30:00-04:00,2411.85,2419.00,2387.91,2402.63,2402.63,792792.00
2020-05-12 10:30:00-04:00,2401.85,2413.55,2399.27,2409.31,2409.31,305281.00
2020-05-12 11:30:00-04:00,2409.29,2410.74,2404.35,2409.23,2409.23,192867.00
2020-05-12 12:30:00-04:00,2410.00,2412.70,2398.00,2400.23,2400.23,247517.00
2020-05-12 13:30:00-04:00,2399.50,2404.01,2393.78,2400.57,2400.57,262924.00
2020-05-12 14:30:00-04:00,2400.22,2401.02,2383.06,2387.65,2387.65,369028.00
2020-05-12 15:30:00-04:00,2388.24,2388.66,2355.00,2355.61,2355.61,614290.00
2020-05-13 09:30:00-04:00,2366.80,2396.95,2356.91,2396.18,2396.18,1108212.00
2020-05-13 10:30:00-04:00,2396.50,2407.70,2377.00,2385.40,2385.40,747488.00
2020-05-13 11:30:00-04:00,2384.74,2385.20,2337.80,2361.36,2361.36,798496.00
