,Open,High,Low,Close,Adj Close,Volume
2020-04-02 00:00:00+00:00,0.030984778,0.031216647,0.030866452,0.03088735,0.03088735,976208
2020-04-02 01:00:00+00:00,0.030853091,0.031147661,0.030853091,0.031124394,0.031124394,567280
2020-04-02 02:00:00+00:00,0.03110162,0.031131797,0.030947268,0.031027002,0.031027002,0
2020-04-02 03:00:00+00:00,0.031061595,0.031239605,0.03105464,0.031233039,0.031233039,1570800
2020-04-02 04:00:00+00:00,0.031201502,0.031400852,0.031169664,0.031360094,0.031360094,732120
2020-04-02 05:00:00+00:00,0.031388171,0.031388171,0.03120924,0.031242136,0.031242136,0
2020-04-02 06:00:00+00:00,0.031263154,0.03134096,0.031140909,0.031277854,0.031277854,0
2020-04-02 07:00:00+00:00,0.031362489,0.031447239,0.031303633,0.031331584,0.031331584,0
2020-04-02 08:00:00+00:00,0.031295978,0.031383853,0.031284083,0.031292725,0.031292725,0
2020-04-02 09:00:00+00:00,0.031335738,0.031414378,0.031322192,0.03135993,0.03135993,0
2020-04-02 10:00:00+00:00,0.031356152,0.031501137,0.031274617,0.031501137,0.031501137,634272
2020-04-02 11:00:00+00:00,0.031509086,0.031513374,0.031388227,0.031461738,0.031461738,747608
2020-04-02 12:00:00+00:00,0.031473532,0.031535801,0.031347524,0.031397846,0.031397846,0
2020-04-02 13:00:00+00:00,0.0313913,0.03150617,0.031180684,0.031362467,0.031362467,0
2020-04-02 14:00:00+00:00,0.031410333,0.03181253,0.031395338,0.0316974,0.0316974,1351632
2020-04-02 15:00:00+00:00,0.031749997,0.031921756,0.031534009,0.03191644,0.03191644,945680
2020-04-02 16:00:00+00:00,0.03195611,0.032420684,0.031886384,0.032420684,0.032420684,1807168
2020-04-02 17:00:00+00:00,0.032418475,0.033056557,0.032418475,0.032822277,0.032822277,4984712
2020-04-02 18:00:00+00:00,0.032814991,0.032814991,0.031787068,0.031814169,0.031814169,959696
2020-04-02 19:00:00+00:00,0.031844199,0.032296207,0.031844199,0.032230906,0.032230906,3070248
2020-04-02 20:00:00+00:00,0.032227889,0.032238089,0.03157584,0.031878065,0.031878065,677128
2020-04-02 21:00:00+00:00,0.031862553,0.032262567,0.031811912,0.032181561,0.032181561,1890808
2020-04-02 22:00:00+00:00,0.032188207,0.032188207,0.031871144,0.032172881,0.032172881,0
2020-04-02 23:00:00+00:00,0.032170884,0.032170884,0.031826388,0.031984415,0.031984415,0
