,Open,High,Low,Close,Adj Close,Volume
2020-04-02 00:00:00+00:00,0.00187596,0.001892563,0.00186193,0.001874171,0.001874171,1151488
2020-04-02 01:00:00+00:00,0.001872385,0.001878029,0.001868223,0.001870458,0.001870458,0
2020-04-02 02:00:00+00:00,0.001870733,0.001872489,0.001856507,0.001872489,0.001872489,0
2020-04-02 03:00:00+00:00,0.001871414,0.001871414,0.001860028,0.00186063,0.00186063,0
2020-04-02 04:00:00+00:00,0.001861928,0.001868631,0.001859824,0.001865371,0.001865371,61456
2020-04-02 05:00:00+00:00,0.001862895,0.001867333,0.00185577,0.001859946,0.001859946,0
2020-04-02 06:00:00+00:00,0.001857921,0.001872071,0.001857351,0.001870156,0.001870156,115552
2020-04-02 07:00:00+00:00,0.001869961,0.001882212,0.001869678,0.001875684,0.001875684,585520
2020-04-02 08:00:00+00:00,0.001875896,0.001881506,0.001873526,0.001875484,0.001875484,0
2020-04-02 09:00:00+00:00,0.001876796,0.00187879,0.001874133,0.00187879,0.00187879,403808
2020-04-02 10:00:00+00:00,0.00187871,0.001880614,0.001868581,0.001877091,0.001877091,0
2020-04-02 11:00:00+00:00,0.001876842,0.001881449,0.001870861,0.001875833,0.001875833,0
2020-04-02 12:00:00+00:00,0.001874768,0.001874768,0.001857485,0.001861714,0.001861714,0
2020-04-02 13:00:00+00:00,0.001861349,0.001867087,0.001850155,0.001852455,0.001852455,0
2020-04-02 14:00:00+00:00,0.001858333,0.001871014,0.001854547,0.001860181,0.001860181,262064
2020-04-02 15:00:00+00:00,0.001861396,0.001869177,0.001854521,0.00186768,0.00186768,143504
2020-04-02 16:00:00+00:00,0.001866145,0.001889304,0.001865539,0.001888372,0.001888372,12531008
2020-04-02 17:00:00+00:00,0.001888795,0.001938725,0.001885715,0.001932828,0.001932828,2992432
2020-04-02 18:00:00+00:00,0.001932148,0.001932148,0.001866309,0.001866309,0.001866309,0
2020-04-02 19:00:00+00:00,0.001868216,0.001881811,0.001865054,0.001880915,0.001880915,1730944
